Id;Nombre;Fecha de muerte;Fecha de beatificación;Fecha de canonización;Mini biografía;Virtudes centrales;VC Observaciones;Fuente
56;Arcángel Miguel;;;;"Según la tradición, San Miguel Arcángel fue considerado como príncipe de la Iglesia Católica, jefe de los arcángeles, el Ángel del arrepentimiento, de la justicia, de la misericordia y de la santificación. Al igual que defensor de los hombres y custodio de toda la Corte Celestial. Ostenta el título de “El más grande” de todos los ángeles, tanto para la religión cristina como para la judía y la musulmana. Originalmente fue adorado por los calderos quienes lo adoraban como si fuera un Dios. De allí vendría la inscripción “Quis sicut Deus” que aparece en varias de sus representaciones y que traduce “Quien como Dios”, que quiere decir Miguel. En la Iglesia Católica el culto a San Miguel empezó en la época del Papa Gregorio el Grande, hacia el año 509, como consecuencia de una peste de la que los libró el Arcángel. Una de sus principales  apariciones fue datada por Pedro de Rivadeneira, en su libro Flos Sanctorum, en el monte de Gargana; lugar en donde fue edificado un templo en su nombre y celebrada su fiesta, entre el 19 y 20 de septiembre.";;;"Rivadeneira; Ramón Mujica; Pablo Gamboa Hinestrosa"
57;Ángel Custodio;;;;"La devoción al Santo Ángel de la Guarda o Ángel Custodio surgió fundamentalmente en el siglo XVI, en la época de la Contrarreforma. Sin embargo, sólo hasta el siglo XVII fue proclamada oficialmente por el Papa Clemente X. Según fue planteado por la iglesia, a todos los hombres (fuera de Jesucristo) desde el momento en que nacen del vientre de su madre y entran en el mundo terrenal, cuentan con la ayuda de un ángel particular; el cual tiene la misión de cuidar, vigilar y defender al hombre de todos sus enemigos. Igualmente, y como lo sugiere Pedro de Rivadeneira, este ángel fue considerado como tutor y guía que se le otorga a un niño, para formar sus costumbres y alumbrar su entendimiento. Así como para librarlo de los peligros del alma y del cuerpo en cada instante de su vida. De otro lado, a este ángel se le confiere el poder para asistir al hombre en el momento de su muerte y librarlo de las posibles penas del purgatorio. La Iglesia Católica celebra la fiesta de los ángeles custodios el 2 de Octubre.";;;"Rivadeneira; Pablo Gamboa Hinestrosa; Carlos Mejía"
58;Arcángel Gabriel, Fotitude Dei;;;;El arcángel Gabriel fue visto como el anunciador y protector de la virgen durante toda su vida. Mensajero y embajador escogido por Dios, para comunicarle a María el ministerio de la encarnación del verbo eterno en su vientre. En la Religión Católica su culto se inicio en el siglo XIV, considerado como: el Ángel de la anunciación, de la resurrección, de la misericordia, de la muerte y de la redención (toca la trompeta el día del Juicio Final). Es uno de los pocos ángeles que se nombran en la Biblia. En primer lugar, en el Antiguo Testamento en el Libro de Daniel, a quien se le presentó para enseñarle el tiempo en el que el Mesías había de venir al mundo y librar a los hombres con su muerte del yugo del demonio. En el segundo lugar, en el Nuevo Testamento anunciando a Zacarías –que se encontraba incendiando el altar- el nacimiento de su hijo san Juan Bautista. Su nombre es de origen caldeo y fue conocido por los judías desde antes de la cautividad, el cual quiere decir: Dios es mi fortaleza o “Fortitudo Dei”, fortaleza de Dios.;;;"Rivadeneria; Pablo Gamboa Hinestrosa; Carlos Mejía"
59;Arcángel Seactiel;;;;Seactiel, también se escribe como sealtiel (hebreo: slthi”-he) que equivale a pedido de Dios. Se muestra según el fresco de Palermo descubierto en 1516, en donde se encontraban representados los siete arcángeles con sus nombres hebreos, en estado de oración: juntas las manos e inclinada la cabeza. Este nombre se encuentra en el Antiguo Testamento citado como uno de los hijos de Jaconias. Es el arcángel de la oración y se conoce como el intercesor de Dios, ya que fue quien se le apareció a Abraham para evitar que sacrificara a su hijo Isaac. Asimismo, en el Apocalipsis se hace  referencia a este arcángel aunque no se mencione su nombre, cuando en el episodio del séptimo sello se describe un ángel con incensario.;;;"Carlos Mejía Gutierrez; Pablo Gamboa Hinestrosa"
60;Arcángel Rafael;;;;Con Miguel y Gabriel integra la tríada de los ángeles bíblicos o canónicos que son reconocidos por la Iglesia Católica como santos. A Rafael se le conoce como el jefe de los ángeles custodios y como el ángel de la guarda de la humanidad por excelencia. Asimismo, es reconocido como el arcángel viajero de la Biblia,  guía y maestro del joven Tobías. Según la tradición por indicaciones del arcángel, el joven Tobías preparó un medicamento, con el que al finalizar el viaje, pudo curar la ceguera de su padre, el anciano Tobías. Durante todo el viaje de ida y vuelta, el arcángel Rafael acompañó, protegió y aconsejó a su joven compañero.;;;"Pablo Gamboa Hinestrosa; Carlos Mejía Gutierrez"
61;Daniel en el foso de los leones;;;;Daniel aparece  en las  Biblias católicas y protestantes, considerado como el primero entre los profetas mayores. Al parecer este profeta había vivido en Babilonia, en los reinados de Nabucadnetsar  y de Belsatsar, después de Dacio y de Ciro, por lo tanto en el Siglo IV a. C.  En su libro,  se encuentra una especial alusión a la resistencia contra los despostas, predice la caída de los imperios de rapiña e intenta levantar la moral de los judíos perseguidos con ejemplos de protección divina.  De los pasajes más conocidos  y  del cual hace parte está imagen, se destaca “Daniel en el poso de los leones”. Se cree que Daniel sólo fue arrojado a las fieras una vez. Sin embargo y de acuerdo con la  Biblia,  habría sido hundido en dos ocasiones en el foso de los leones de Babilonia. La primera durante el reinado de Daría y la segunda por orden de Ciro.  En el primero, los sátrapas, celosos de los favores que Daniel tenía en la Corte, lo acusaron de crimen de lesa majestad por haber violado un decreto del rey Darío que prohibía dirigir las plegarias a todo Dios u hombre que no fuera él mismo.  Por lo cual, fue arrojado al foso de los leones  y cerrada la entrada con una piedra. Al día siguiente Daniel fue encontrado vivo y refirió que Dios le había enviado un ángel guardián que había amordazado las fauces de los leones. En el segundo, fue condenado  a ser devorado por los leones por sacrilegio: se le acusaba de haber envenenado a la serpiente sagrada de Baal dándole de comer una galleta compuesta por una indigesta mezcla de pez, hollín y cera.;;;Lois Réau 'Iconografía del arte cristiano'
62;Querubines;;;;Los querubines y los serafines son las dos clases más altas de ángeles de la jerarquía celeste. No son ángeles en el sentido epistemológico de mensajeros, pues se mantienen siempre alrededor del trono de Dios, a menos de que vigilen el símbolo de éste,  el Arca de la Alianza. Fueron retomados de la mitología babilónica, que personificaban la luz cegadora de los relámpagos  en un cielo en tormenta. Serafines y querubines se diferencias en el número de alas.  Los serafines se caracterizan por seis alas oceladas (son hexaptéros), mientras que los querubines sólo tienen cuatro. La fuente de esta iconografía es una visión de Isaías (6: 2);;;"Louis Réau; G Duchet-Suchaux y M. Pastoureau"
63;Dolorosa;;;;"El misterio de la participación de la Virgen madre dolorosa en la pasión y muerte de su Hijo es probablemente el acontecimiento evangélico que ha encontrado un eco más amplio y más intenso en la religiosidad popular, en determinados ejercicios de piedad (Vía crucis, Vía Matris...) Y, en proporción con los demás misterios, también en la liturgia cristiana de oriente y de occidente. Es curioso cómo estas tres dimensiones de la piedad están idealmente unidas en la liturgia de rito romano en el Stábat Mater, atribuido a Jacopone de Todi, secuencia nacida en un contexto de intensa religiosidad popular, utilizada de varias maneras en los ejercicios piadosos y, aunque de forma facultativa, presente en la liturgia de las horas y en la liturgia de la palabra de la misa del 15 de septiembre de la Virgen de los Dolores. En general, se suele considerar el dolor de la Virgen en la infancia de Jesús y no sólo en su pasión. La meditación cristiana captó y en cierto modo fue codificando progresivamente a lo largo de los siglos siete sucesos dolorosos, siete episodios bíblicos en los que está atestiguada expresamente o intuida por la tradición la participación de María. Se recuerda la subida al templo de José y de María para presentar allí a Jesús a los cuarenta días de su nacimiento, con la relativa profecía del anciano Simeón: “Una espada atravesará tu alma” (Lc. 2, 34-35). Espada que es, “según parece, la progresiva revelación que Dios le hace de la suerte de su Hijo”; espada que penetrando en María le hará sufrir; espada que penetrando en María le hará sufrir; espada símbolo del camino doloroso de la Virgen, que en la tradición posterior será asumida como signo plástico de los dolores sufridos por la madre del redentor y representada luego en número de siete puñales clavados en el corazón de la Virgen. El camino de fe de la Virgen se vio muy pronto marcado por un nuevo suceso doloroso: la huida a Egipto con Jesús y José (Mt. 2, 13-14). Y una vez más, durante la infancia de Jesús, el suceso de la pérdida en Jerusalén y la búsqueda ansiosa y dolorida de María y de José (Lc 2, 43ss), que se concluirá con el hallazgo del Hijo en el templo, nuevo motivo de meditación y de interpretación sobre la voluntad de Dios en el corazón de la madre. La contemplación de la tradición ha querido descubrir en la subida de Jesús con la cruz al Calvario la experiencia síntesis del camino de fe de la madre, y aunque los evangelios no mencionan nada de eso, la piedad tradicional ve también la presencia de María en el encuentro de Cristo con las mujeres (Lc 23, 26-27). Como ya se ha dicho, es en el acontecimiento de la crucifixión donde encontramos el significado primero y último de la Dolorosa.";;;http://www.corazones.org/maria/dolorosa_virgen.htm
64;Exploradores de Canaán;;;;"Esta representación hace parte un pasaje bíblico, según el cual cuando llegaron a Cabesbarne, situado en el confín o límite meridional de la tierra de Canaán, escogió Moisés a doce hombres, uno de cada tribu, para que se adelantan y reconocieran el país, que los israelitas debían conquistar. A los cuarenta días volvieron esos emisarios, trayendo riquísimos frutos, entre los cuales había un sarmiento de vid con  un tan extraordinariamente grande, que se necesitaron dos hombres para transportarlo. Dijeron aquellos “Es un país hermosísimo donde corren arroyos de leche  y miel; pero las poblaciones están cercadas de altas murallas y defendidas por unos gigantes, a cuyo lado parecemos langostas”. Al momento manifestó el  pueblo su terror y espanto, murmurando pública y violentamente de Dios y de Moisés. Estas murmuraciones excitaron la cólera de Dios, quien advirtió con anonadar  con peste aquel ingrato pueblo; intercedió de nuevo Moisés, y se aplacó el señor; pero ordenó a su siervo que les dijera: “De todos los que salieron de Egipto mayores de veinte años ninguno entrará en la tierra prometida, excepto Josue y Caled”. Después de tan terrible sentencia los israelitas, en vez de avanzar, tomaron de nuevo el camino del desierto, tristes y desconsolados.";;;www. books.google.com.co/books?isbn=9706414940…
65;Juan Bautista;;;;"Juan el Bautista es considerado por los Evangelistas como el último de los Profetas en un sentido cronológico. Pues anuncia la venida del Mesías y le precede, por lo que se le denomina el Precursor. Lucas relata las circunstancias de su nacimiento y de su circuncisión.  El acontecimiento se inscribe en el conjunto de nacimientos milagrosos de la Biblia. Acerca de la infancia de Juan se dispone sólo de cuatro líneas en el Evangelio de Lucas (1, 80); el Protoevangelio de Santiago, texto apócrifo, incluye un conjunto de abundantes datos sobre este periodo. Aparte de este tipo de noticias, no se sabe nada de él antes del inicio de su actividad como bautista, a orillas del Jordán,  hacia el año 27 d. C. Juan lleva una vida ascética,  anunciando la cercanía de la venida del Mesías.";;;"Louis Réau; G Duchet-Suchaux y M. Pastoureau"
66;Calvario;;;;"La Crucifixión de Jesús es relatada por los cuatro evangelistas (Mt 27, 32-56; Lc 23, 26-49; Jn 19, 16-37). Así encontramos los siguientes apartes: Un transeúnte, al que Mateo llama “Simón, un hombre de Cirene” es obligado a llevar la Cruz. Llegados al lugar  de la Calavera, el Gólgota, crucifican a Jesús. “Le dieron a beber vino mezclado con hiel”. Pero Jesús lo rechazó. Después de haberlo crucificado “se repartieron sus vestiduras, echando a suertes”. Un letrero clavado por encima del crucificado proclama “Jesús de Nazaret, el rey de los Judíos”. Lucas sitúa en escena algunos soldados que torturaron a Jesús escarneciéndolo. También hay una . muchedumbre, según el relato de Lucas: “El pueblo permanecía allí mirando”. Los jefes se burlaban. Cerca de la cruz, indica Juan “estaba de pie su madre, la hermana de su madre, María esposa de Cleofás, y María de Magdala”. Hay tres cruces en el Gólgota: la de Cristo, y la de dos malhechores crucificados con él, uno a la derecha y otro a la izquierda, precisa Mateo. Después de que Jesús “entregara el espíritu”, uno de los soldados  romanos de da una lanzada en el costado para verificar su muerte.";;;G. Duchet- Suchaux y M. Pastourea
67;Arcángel Esriel;;;;Esriel es un nombre hebreo (Asr’iel) que significa: Dios es mi auxilio. Es identificado como el arcángel con la espada en la mano, quien no está mencionado en la Biblia con este nombre, pero que en varios episodios aparece como ángel del Señor  con la espada desvainada. Así, se pude observar el episodio de la  de la burra de Balaam, cuando “vio al ángel de Jehová que estaba en el camino, tenía su espada desnuda en su mano” (Num. 22. 23-3). Y en el libro de Josué, éste dice que vió un varón delante de él: “el cual tenía una espada desvainada en su mano”. Y cuando Josué le preguntó quien es, le responde: “Como príncipe del ejercito de Jehová he venido ahora” (Jos. 5, 13-15). También el re David, menciona un ángel con espada en la mano,  cuando “vio el ángel de Jehová, que estaba entre el cielo y tierra, con una espada desnuda en su mano contra Jerusalén” (Crón. 21, 17, 27, 30).;;;Pablo Gamboa Hinestrosa
68;Arcángel Laruel;;;;Considerado como el arcángel de la misericordia, Laruel carece de antecedentes  directos y del cual sólo  se conoce esta representación.  Algunos de los atributos que posee lo caracterizan como el arcángel “misericordia dei”: el ramo de laurel  y la palma del martirio, símbolos de la victoria y la eternidad. El laurel es lo eterno porque nunca pierde su follaje verde, y es el atributo del triunfador y victorioso. A su vez, la palma del martirio también es un emblema de la victoria como triunfo sobre la muerte.;;;Pablo Gamboa Hinestrosa
69;Arcángel Leadh;;;;Este arcángel se caracteriza no sólo porque es apócrifo, sino por la dificultad de identificarlo. Pese a su atribución como “fuerza de Dios” es la clave iconográfica de su nombre, no se ha encontrado en pasajes bíblicos ningún ángel con estas atribuciones. Según algunos autores se podría encontrar la fuente escrita de éste, que es uno de los más desconocidos, en el libro de Henoch. Sin embargo, sobre su tradición iconográfica la figura alegórica de “La Verdad” en la Iconografía de Ripa, representaba en la mano derecha con el sol y en la izquierda una palma, es posiblemente su fuente figurativa, ya que esta obra tuvo una difusión muy amplia, incluso en el territorio americano.;;;Pablo Gamboa Hinestrosa
70;María Magdalena;;;;Muy pronto la tradición reunió en la persona de María Magdalena tres mujeres que eran nombradas en los Evangelios y que habían acompañado a Jesús en momentos distintos de su vida. En primer lugar, la pecadora anónima que, durante la comida en la casa de Simón el fariseo, inunda de perfumes los pies del señor y después los enjuaga con sus cabellos (Lc, 7, 36-50). En segundo lugar, María de Betania, hermana de Marta y de Lázaro, que recibe a Jesús en su casa y obtiene la resurrección de su hermano. En tercer lugar, María Magdalena curada por Jesús de los demonios que la atormentaban, presente durante la Crucifixión y el Entierro. Al final de la Edad Media y en la época moderna, los teólogos discutieron largamente para saber si en la Magdalena habían tres mujeres o una sola, pero la tradición siguió siendo más fuerte. En lugar de separarla, se le añadió incluso a veces ciertas tradiciones relativas a una cuarta: María Egipciana.  Después de la Ascensión de Cristo, con Marta y Lázaro, María Magdalena habría llegado a Provenza, donde los tres habrían convertido a la fe cristiana a multitud de gentes. Después se habrían retirado del mundo para hacer penitencia, en la gruta de Santo Bálsamo, donde vive treinta años. Muere en Aix- en Provence donde los ángeles la han llevado a fin de que recibiera la última comunión. Más tarde sus reliquias se habrían trasladado a Borgoña. Esta historia de María Magdalena no tiene ningún fundamento bíblico ni histórico. Parece que lo forjaron en el siglo XI los monjes de Vézela para explicar y autentificar la presencia de sus reliquias en su iglesia. En la tradición cristina, María Magdalena es efectivamente y ante todo la imagen ejemplar de la pecadora arrepentida y santificada. A esto se debe que sea la patrona de las prostitutas. La Contrarreforma contribuyo a difundir aun más su culto, convirtiendo a María Magdalena en la personificación del sacramento de la penitencia.;;;G. Duchet- Suchaux y M. Pastourea
71;Descendimiento;;;;"Tras la muerte de Jesús, un hombre piadoso llamado José de Arimatea, obtiene la autorización para sepultar los restos del difunto en una tumba. Los cuatro Evangelistas concuerdan en relatar este hecho (Mt, 27, 57-61; Mc 15, 42-47; Lc 23, 50-56; Jn19, 38-42) y en nombrar  -principalmente los tres primeros- la presencia de María Magdalena y de la otra María madre de José y Santiago. Los evangelios apócrifos han dado muchos más detalles y señalado la manera en que Cristo pudo ser desclavado de la Cruz. Así, el Evangelio de Pedro relata como una vez que Cristo fue desclavado de la Cruz, y colocado en el suelo, la tierra se puso a templar y el sol brillo de nuevo.  Se pueden diferenciar tres fases sucesivas de este acontecimiento: el Descendimiento de la Cruz, el Entierro y finalmente la Lamentación.";;;G. Duchet- Suchaux y M. Pastourea
72;Prendimiento;;;;"En primer lugar, es importante establecer que el prendimiento de Jesús tiene como preludio su oración en el Monte de los Olivos. Tema al cual hace referencia la imagen que se observa. Los cuatro evangelistas relatan el prendimiento de Jesús (Mt 26, 47-56; Mc 14, 43-52; Lc 22, 47-53; Jn 18, 6). Tradicionalmente, la secuencia se articula en torno a tres acontecimientos relevantes, la oración en el monte, el beso de Judas  y el prendimiento propiamente dicho. Después de orar, Jesús se dirige a la tropa que avanza sobre él, con Judas detrás. Cuando les responde: “Yo soy”, después de que han declarado que buscan a “Jesús de Nazaret”, retroceden y caen (Jn, 18,6). De una estocada Pedro corta la oreja del siervo de sumo sacerdote, llamando Malcon. Después del prendimiento de Jesús los discípulos huyen.";;;"G. Duchet- Suchaux y M. Pastourea;Louis Réau"
73;Ecce Homo;;;;"La expresión “Ecce Homo” es la forma latina del anuncio de Pilato: “Aquí está el hombre”. Según lo relata Rivadeneira, dice: “Ecce Homo. Veis aquí a  el hombre; como si dijera a ¿este hombre tenéis envidia? De este hombre temes que se haga Rey? Veisle aquí azotado, afrentado, desfigurado, atado, atado en vuestras manos,  y con tal figura, que apenas parece hombre y esta más para tenerle lastima que envidia”. La tradición de este episodio procede del Evangelio de Juan. Esta escena de la “presentación de Cristo” se sitúa tras la comparecencia de Jesús ante Pilato, tras la flagelación y la coronación de espinas. Mientras que los soldados se burlan de Cristo gritándole: “Salve, rey de los judíos”, Pilato vuelve a salir anunciado que va a sacar al acusado, “Jesús salió entonces al exterior, llevaba la corona de espinas y el manto púrpura. Pilato les dijo (a la turba): ¡Aquí esta el hombre! Cuando los principales sacerdotes y sus hombres ven a Jesús, se ponen a gritar: “!Crucifícale!”.";;;"G. Suchaux y M. Pastourea; Ribadeneira, t 1, p 19."
74;Pablo Apóstol;;;;Pablo después de Jesús es la figura más importante de la historia del cristianismo. Su vida es relatada en los Hechos de los Apóstoles y en sus propios escritos. Al parecer, nació en Tarso, en Asia Menor, hacia el año 10, en una familia judía de cultura griega. Su nombre es Saulo, que recibe en recuerdo del primer rey de Israel. Tras su conversión, lo cambiará por el de Pablo que significa “pequeño”.  Parece haber sido un perseguidor de cristianos y haber participado en la dilapidación del primer mártir, el diácono Esteban. Pablo se convirtió con más de veinticinco años. Un día, en el camino de Jerusalén a Damasco, se vio cegado por un resplandor prodigioso. Caído al suelo, es interpelado por Cristo que le dice: “Saulo, Saulo, ¿por qué me persigues?”. Este encuentro con Dios decide su conversión, convirtiéndose en el misionero más extraordinario y defensor de la nueva religión. Sus viajes de evangelización lo conducen  a Asia Menor, a Chipre, a Grecia en el 50, donde predica en Atenas, en el Areópago, sin éxito. Finalmente llega a Roma. Pablo predica sobre todo a los gentiles, es decir, a los no judíos. Su apostolado itinerante dura aproximadamente un cuarto de siglo. En su condición de ciudadano romano, Pablo tiene el privilegio de ser decapitado, mientras que Pedro es crucificado como esclavo. Al haber separado definitivamente el cristianismo del judaísmo, y al haber llegado el Evangelio por todo el mundo romano y griego, Pablo es considerado como el fundador de la iglesia universal. Recibe el apelativo de apóstol aunque no conoció a Jesús. A los largo de la Edad Media, su culto va unido al de Pedro, y se dedicaran numerosas iglesias a los dos santos. Pablo es considerado como el patrón de los misioneros, de los cesteros y de los cordeleros. Es también el segundo patrono de la ciudad de Roma, después de san Pedro.;;;G. D. Suchaux y M. Pastourea
75;Lucas;;;;La historia reúne en un solo personaje al autor del tercer Evangelio, al de los Hechos de los Apóstoles, y al compañero de Pablo, “Lucas el médico”. La tradición según la cual Lucas es el autor del tercer evangelio se remonta al siglo II. La lectura, según el Diccionario de Santo, muestra que su autor es de formación helenística y que ha dirigido su escrito a una comunidad cristiana de origen pagano. Probablemente escribiera entre los años 70-80. Sus fuentes son la tradición de Marcos, una fuente conocida también por Mateo, y tradiciones propias. Se revela como un hombre de la Iglesia, de ortodoxia y tradición. Lucas no sólo fue reconocido como médico, sino  también pintor, por lo que, a lo largo de la historia, se le ha atribuido muchos cuadros de la Virgen. Independiente del hecho de que fuese pintor o no, Lucas es el evangelista que mejor esbozó la figura de María en su evangelio. Al parecer habría sido martirizado junto a Andrés en Patrás (Grecia), con 84 años. Las principales localidades que reivindicaban la posesión de las reliquias  de Lucas son: Constantinopla, Padua y Venecia.;;;C. Leonardi, A, Riccardi, G, Zarri
76;Santa Lucia;;;;Al parecer Lucía murió en Siracusa, victima de la persecución de Diocleciano, en el año 303. El relato legendario de su vida fue difundido por Santiago de la Vorágine en la Leyenda dorada procedente de las Actas griegas y latinas de su vida.  Según estas fuentes, Lucía es una noble muchacha siracusana martirizada el 13 de diciembre, por haber rehusado el matrimonio y distribuido sus bienes a los pobres. Uno de sus pretendientes la denuncia a las autoridades. El juez la condena a ser violada en el lupanar, pero es protegida milagrosamente. Al no poder conseguir que padeciera en la hoguera, finalmente le atraviesan la garganta con una espada.;;;C. Leonardi, A, Riccardi, G, Zarri
77;Úrsula;;;;"Su leyenda tiene origen en una inscripción en latín, grabada en una piedra a inicios del siglo V, en la iglesia de Santa Úrsula de Colonia: “Clemencio restauró una iglesia en ruinas, en honor de varias vírgenes y mártires”. Hija de un rey cristiano de Bretaña, Úrsula es prometida en matrimonio a un príncipe pagano. Decidida a seguir siendo virgen, inspira a su padre la respuesta que debe dar al rey que solicita para su hijo la mano de la joven. Aceptará con una condición: que se le den a Úrsula diez vírgenes “muy distinguidas”, para consolarla, y mil vírgenes a cada una de éstas; además Úrsula tendrá tres años para reflexionar. Algunos obispos, entre ellos el de Basilea, protegen a esta multitud que se embarca en una expedición. Después de una travesía por mar salpicada de numerosos episodios, llegan a Colonia,  Basilea, Roma y regresan a Colonia. Todos son martirizados en Colonia por el rey de los hunos. El descubrimiento en 1155 en Colonia de gran cantidad de osamentas, atribuidas inmediatamente a Úrsula y a sus 11.000 compañeras, tuvo inmenso éxito en su culto durante la Edad Media.";;;"G. Duchet- Suchaux y M. Pastourea;Louis Réau"
78;Esteban;;;;La historia de san Esteban procede de los Hechos de los Apóstoles. Según este texto, con motivo de la institución de los “siete hombres de buena reputación, llenos de Espíritu y de sabiduría” a los que se encarga el “servicio de las mesas”, Esteban es elegido para formar parte de este selecto grupo. Acusado de haber proferido palabras blasfemas contra Moisés y contra Dios, es llevado ante el Sanedrín. Exasperados al oírle afirmar que “contempla a los cielos abiertos y al Hijo del hombre en pie a la diestra de Dios”, sus acusadores lo sacan de la ciudad y comienzan a lapidarlo. Los testigos de la acusación, precisa el texto, habían depositado sus vestiduras a los pies de un joven llamado Saulo,  que  “era uno de los aprobaba este asesinato”. Una Vida fabulosa de san Esteban protomártir, del siglo X, relata cómo habría sido arrebatado el día de su nacimiento por Satanás, y recogido por un obispo, Julián.;;;"G. Duchet- Suchaux y M. Pastourea;Louis Réau"
79;Regreso a Egipto;;;;Hay tres episodios que ilustran el regreso de José, María  y el niño Jesús a Egipto: la aparición del ángel a José,  el viaje de regreso y los aprendizajes del Niño Jesús en Nazaret. En el primero, un ángel le informa a José acerca la muerte de Herodes y lo invita a regresar a Nazaret con María y el Niño después de aproximadamente siete años fuera, según lo relata Rivadeneira. Teniendo presente  por sus sueños que Archeláo reinaba en lugar de su padre, a quien había sucedido, José desvío su camino hacia la provincia de Galilea y posteriormente vuelve a Nazaret. Este tema que en ocasiones podría confundirse con los otros dos del sueño de José, es poco representado en el arte religioso. En el segundo, se alude al regreso que hace la familia a Egipto, cuando Jesús ya está crecido y camina al lado de José y María. En el tercero, se hace especial referencia a los aprendizajes del niño Jesús relatados en los Evangelios apócrifos, tales como: aprendiz de clérigo, aprendiz de carpintero y aprendiz de tintorero.;;;"G.Suchaux y M. Pastourea; Rivadeneira, t.1.p.6"
80;Joaquín;;;;"Una antigua tradición, que arranca del siglo II, atribuye los nombres San Joaquín y  a los padres de la Santísima Virgen María. El culto a santa Ana se introdujo ya en la Iglesia oriental en el siglo VI, y pasó a la occidental en el siglo X; el culto a san Joaquín es más reciente. No conocemos de Joaquín y Ana con certeza más que sus nombres y el hecho de que fueron los padres de la Madre de Dios. Aparecen solamente en el Protoevangelio de Santiago, el Evangelio del Seudo Mateo y en el evangelio de la Natividad de la Virgen. San Joaquín era venerado por los griegos desde muy temprano. En el Occidente su fiesta fue admitida al calendario más tarde, algunas veces el 16 de septiembre, otras el 9 de diciembre. Julius II la puso en el 20 de marzo; más tarde suprimida fue restaurada por Gregorio XV (1622). Clemente XII (1738) la fijó en el Domingo después de la Asunción. Con la reforma del calendario después del Concilio Vat II, San Joaquín se celebra junto con su esposa, Santa Ana, el 26 de Julio.";;;"G.Suchaux y M. Pastourea;"
81;Joaquín y Ana ante la Puerta dorada;;;;"Los nombres de Joaquín y Ana –considerados los padres de María- sólo aparecen en la literatura apócrifa. No hay rastro alguno de ellos en los evangelios canónicos. El texto más antiguo que habla de ellos es el Protoevangelio de Santiago, un apócrifo muy difundido y donde se ha recogido ampliamente la tradición cristiana. Según este tipo de fuente, Joaquín era un hombre muy rico, pero no tenía hijos. Por lo cual, se sentía muy afligido por que sabía que todos los justos en Israel tenían hijos, incluso Abraham en su vejez. Afligido y cansado abandona su casa y se retira al desierto para ayunar y rezar. También su mujer, Ana, se aflige y llora, creyéndose abandonada por el señor. La esterilidad, especialmente para la mujer, era considerada una maldición. Pero un día, el ángel del Señor se le apareció a Joaquín y el dijo: “El Señor ha escuchado tus ruegos; baja, pues, de aquí, Ana, tu mujer, va a concebir en su seno”; asimismo, Ana es avisada por un ángel sobre dicho acontecimiento. Los dos viejos ancianos –avisados separadamente- se encuentran en la Puerta Dorada  de Jerusalén y se abrazan tiernamente. Esta escena es la más popular del ciclo de Ana y Joaquín, porque en la Edad Media se veía en ella no sólo el preludio del Nacimiento de la Virgen, sino además el símbolo de la Inmaculada Concepción. Los teólogos enseñaban que la Virgen “concebido por un beso sin semen de hombre” había nacido por ese beso compartido frente a la Puerta Dorada, asimismo a la Puerta Cerrada  de la visión de Ezequiel.";;;"G.Suchaux y M. Pastourea;"
82;Arcángel Jehudiel;;;;Es conocido como el ángel de la penitencia, sin embargo no hay fuentes escritas con las que se pueda relacionar directamente. Según el fresco de Palermo, se reconoce como “remunerartor”, el preceptor de Sem, uno de los hijos de Noé. Desde el punto de vista prefigurativo se sabe que es uno de los siete arcángeles representado en la pintura de Palermo y en las estampas de Wierix y de Jode que son sus principales antecesores iconográficos. No obstante, el arcángel Geudiel o Jehudiel, junto con Seactiel y Barachiel, es considerado apócrifo.  En la pintura de la Nueva Granada, fuera del arcángel de Geudiel de Sopó, sólo se conoce el de la iglesia de Santa Clara en Bogotá, aunque tanto el nombre “S. Jehudiel”, o la manera como lo representaron es diferente.;;;Pablo Gamboa Hinestrosa
83;Sagrada familia;;;;"La sagrada familia constituye esencialmente un grupo más pequeño en comparación con La Parentela de María; sólo incluye a las familiares más cercanos o próximos del Niño Jesús, es decir, su madre, abuela o madre y padre nutricio. En los dos casos, ya sea santa Ana o san José quienes lo lleven, es un grupo de tres figuras, que es relacionado especialmente con la trinidad. Este motivo, que se hizo popular a partir del Renacimiento, ya existía en las imágenes de la Natividad de la Edad Media. El tema alcanza su mayor difusión en el arte religioso de la Contrarreforma que estimulo el culto de las Trias humanas, Jesús, María y José: es lo que se llama la Trinidad jesuítica o terrestre.";;;"G.Suchaux y M. Pastourea;"
