author;activity;bio
José Manuel de Gamarra;;
José Marcelino de Rivera y Argonanis;;
José María Arango;1810-1825;"(1790-1835) José María Arango nació en 1790. Arango se formó en el seno de la Real Escuela de las Tres Nobles Artes de Sevilla, donde su condición de alumno prometedor le permitió el nombramiento de profeso ayudante en 1814, llegando a desempeñar el puesto de Teniente de Pintura. En 1818 fue designado académico de mérito de San Fernando de Madrid. Muere el 4 de noviembre de 1833 victima del cólera. 

"
José María Barajas;;
José María de Bastida;;
José María Hernández;;
José María Vallejo;;
José María Vázquez;;José María Vázquez fue el discípulo más destacado de Rafael Ximeno y Planes. Fue además teniente de pintura en la Academia de San Carlos e introductor del estilo neoclásico a la Nueva España.
José Mariano Farfán de los Godos;;
José Martínez ;;
José Medina;;
José Mendoza ;;
José Mendoza Moctezuma;;
José Miguel Gómez ;;"José Miguel Gómez nació en el pueblo de indios Teguygalpa (actual Honduras) y aproximadamente el 5 de septiembre de 1712 recibe las aguas bautismales. El artista pintor fue declarado hijo de padre desconocido, según las prácticas excluyentes de la época.  Al  quedar huérfano, vivió  en una  gran pobreza. Gracias a  su amistad con el padre José Francisco de Aranda, proveniente de México, este le enseñó a leer, escribir y  aprendió su visión del universo, de papeles, libros antiguos, grabados que incentivaron su mente y la fantasía.



"
José Morales Pbro;;
José Navarro;;
José Nicolás de la Escalera;;(1734-1804) El arte de Escalera es eclesiástico. Su arte está muy a tono con su época en que los pinceles de los pintores plasman sangre de mártires y candideces de vírgenes y en que las cúpulas y los retablos hablan de las más dulces bienaventuranzas. De las obras más importantes de Escalera están las cuatro pinturas que adornan el arco toral de la Iglesia de Santa María del Rosario, el templo levantado a principios del siglo XVIII por generosidad de los Condes de Casa Bayona y que representan La Rosaleda, Glorificación de Santo Domingo, Donación de la Santa Virgen a Santo Domingo y la noble familia de Casa Bayona. También son de Escalera las demás pinturas que adornan todos sus altares. 
José Núñez de Sotomayor;;De José Núñez de Sotomayor se conoce que es un pintor peruano que nació en 1795 en Lima. 
José Oliveira Rosa;1750-1769;(1690 - 1769) José de Oliveira Rosa Nació en 1690 en Rio de Janeiro, Brasil. Se sabe que pintó un gran panel alegórico en la sala de audiencias del Palacio de los Virreyes y los retratos y los paneles de varias iglesias, incluyendo un retrato de la madre Jacinta de San José en el Convento de Santa Teresa. También pintó  los paneles sobre la vida de San Bernardo y Santa Bárbara en la Capilla de las Reliquias de la iglesia Monasterio de San Benito . Estos paneles, firmadas y fechadas, fueron pintados en 1769 y muestran una influencia rococó. 
José Ortiz;;
José Pablo Chávez;;
José Padilla;;"Las obras de José Padilla pueden encontrarse en el seminario jesuita de Tepotzotlán. Se puede observar su obra en la realización de una serie de San Estanislao de Kostka.



 Fuente:

Arte Colonial en México, Manuel Toussaint, UNAM, 1962, p. 172, 210"
José Patricio da Silva Manso;1777-1789;"(1753-1801)José Patricio da Silva Manso fue un pintor y dorador brasilero. La documentación sobre su vida y obra no son definitivos. La mayoría de la información es de segunda mano o no detallada. En general se considera que Silva Manso nació en Minas Gerai en 1753. Se cree que fue contratados, entre 1777 y 1780, para pintar el arco, la bóveda de la capilla mayor, los tribunos y cuatro paneles del Santísimo Patriarca de la iglesia del monasterio de San Benito. Entre 1785 y 1787, pintó el panel de la sacristía y el techo de la capilla de la tercera orden de la iglesia de São Paulo Carmo. Murió en 1801 y está enterrado en la iglesia del monasterio de San Benito de São Paulo, con el permiso expreso del obispo.

Fuente: página web de la enciclopedia itau cultural

http://enciclopedia.itaucultural.org.br/pessoa23712/jos%C3%A9-patr%C3%ADcio-da-silva-manso"
José Perovani;1790-1835;"( 1765 –1835) José Perovani estudió en Roma y emigró al norte de América a la ciudad de Filadelfia donde se casó con Mrs. Juana Gordon Balduari. En 1801 fue a Cuba en donde se dedicó, junto a su esposa, a la enseñanza. Entre los muchos trabajos que ejecutó en Cuba sobresale la decoración de la Catedral habanera, en donde, aparece  una Asunción de la que se ha dicho que se yuxtapone la técnica  del dibujo ejecutado con tintas manejadas a la perfección. También en La Catedral pintó La cena con los doce Apóstoles y La Potestad de la Iglesia dada a San Pedro en 1810. En el antiguo Cementerio de Espada, pintó La Resurrección Universal, así como otras pinturas que decoraban la entrada principal del Cementerio, tituladas: El Tiempo, La Eternidad, La Religión y La Muerte. En el Presbiterio de la Iglesia del Espíritu Santo, pintó un fresco y dos óleos, destacándose entre sus contemporáneos. En compañía de los franceses Louis Felipe Duque de Orleáns y el Conde de Beaujilais, de paso por Cuba en esa época, pintó distintos frescos en el Ingenio de Santa Teresa, propiedad de los Aróstegui. El Duque de Montpesier hizo un Retrato de Perovani que luego se conservó en manos de Don Martín de Aróstegui. En Cuba, Perovani no pudo realizar su sueño de fundar una Academia de Arte y partió a México en busca de trabajo. En esa tierra retrató a Virreyes y colaboró en el decorado de un teatro. Enfermó de cólera y murió por esa causa a los 70 años de edad.



Fuente: Opus Habana, 1997 Vol.I"
José Pinhão de Matos ;;"José Pinhão de Matos fue uno de los artistas europeos más influyentes en Pernambuco y Bahía, en el siglo XVIII, heredero de maestros europeos que trabajaron para las cofradías religiosas. Según los historiadores, fue jefe del ejército y el padre del pintor Pernambuco Simón Gomes dos Reis. Según el historiador José Antonio Gonçalves de Melo, Matos fue autor de nueve pinturas de gran formato y ocho marcos más pequeños pertenecientes a la Tercera Orden de San Francisco, en Pernambuco. El pintor fue contratado en 1726 en Oporto, Portugal, para pintar el techo artesonado y dorando las obras talladas de la iglesia de nueva construcción del mismo orden. 

 Fuente: ALVES, Marieta. Diccionario de artistas y artesanos en Bahía. Universidad Federal de Bahía.

"
José Rabelo de Vasconcelos ;;
José Ribera;;(1588-1652) De José Ribera se conoce, además de su fecha de nacimiento y muerte, que fue un pintor español. 
José Rodrigues Nunes;1830-1860;"(1800-1881) José Rodrigues Nunes fue un pintor, profesor , decorador, restaurador , escenógrafo brasilero.  Enseñó dibujo en el ""Provincial Liceo Salvador"" entre 1837 y 1859  con los estudiantes Olimpio Pereira da Mata , Macario José da Rocha , João Francisco Lopes Rodrigues, Francisco Romao Silva y su hijo Francisco Rodrigues Nunes Además de ser un profesor, se desempeñó como escenógrafo en el  ""Teatro São José"" durante muchos años."
José Rodríguez Carnero;;"Rodríguez Carnero fue hijo de Nicolás Rodríguez Carnero de Aguilar y Catarina de Sena. Su padre  era medio hermano del jesuita Juan Carnero, quien había estado sucesivamente casado con Teresa de Contreras, Manuela de Ayala y, finalmente, con Gertrudis de la Rosa Zurita. Con las tres había procreado varios hijos. Se conoce también de los sinsabores que significó para él su matrimonio con Manuela de Ayala, ya que, cosa infrecuente en los testamentos, el pintor aprovechó esa oportunidad para expresar, en claro tono de queja, que en el tiempo de contraer dicho enlace no sólo no tenía capital alguno —“mas que tan solamente el crédito de mi arte”—, sino que su nueva esposa “vino al matrimonio sólo con su cuerpo y para adornarlo fue preciso remitirle ropa mujeril” (de su anterior esposa), y que se vio precisado a alimentar “a la susodicha, a sus padres, hermanos y parientes” gastando en su manutención y cuidados más de 20 mil pesos (una verdadera fortuna para la época), cantidad que —dice— “adquirí a mi industria y trabajo en diferentes obras que se ofrecieron en este tiempo”. Por último, no obstante a haber quedado quebrado y lleno de deudas, quizá para asegurar el cuidado de los hijos, Rodríguez Carnero había contraído un tercer y último matrimonio con Gertrudis de la Rosa Zurita —en realidad el cuarto—, quien, pese a que tampoco llevó dote, no parece haberle causado más contratiempos. Rodríguez Carnero murió, ya anciano, en la dicha ciudad de Puebla, el 19 de septiembre de 1725, y fue enterrado al día siguiente en el templo de la Compañía. 



"
José Rodríguez de los Santos;1680-1720;"(1649-1725)Este pintor firmó bajo otros dos nombres: José de los Santos y José Rodríguez de los Santos, lo cual causó, durante mucho tiempo, la impresión de que existieron estos dos pintores en el siglo XVII. Carnero nace en 1649 en la Ciudad de México y es bautizado 1680-el 21 de noviembre de ese mismo año. Hijo del también pintor Nicolás Rodríguez Carnero (también nombrado Nicolás Rodríguez Carnero de Aguilar) y de Catalina Morales (que a veces aparece como Catalina de Sena o de Sayavedra) . En 1684 abandonó la Ciudad de México para ubicarse en Puebla. Ya que Rodríguez Carnero figura al lado de los pintores poblanos Antonio de Santander, Juan de Villalobos, Cristóbal Talavera, Jerónimo Gómez, Pascual Pérez, Manuel Marimón y Rafael Peña en la solicitud presentada ante el alcalde mayor de Puebla, Juan Joseph de Veytia y Linaje, para la admisión y aprobación de las ordenanzas que los mismos, a semejanza de las elaboradas por los pintores y doradores de la ciudad de México, habían formulado para el régimen y buen gobierno del gremio y unión que de dichas artes pretendían fundar en esa ciudad de Puebla. Tras una residencia de casi cuarenta años en Puebla muere el 3 de Septiembre de 1725 a los 76 años. 

FUENTE: Anales del Instituto de Investigaciones Estéticas, 1997, vol. XIX, núm. 70, pp. 45-76. 

http://artecolonial.wordpress.com/2011/01/14/rodriguez-carnero-jose-pintor/"
José Rodríguez Juárez;1690-1720;"(1675-1728) Juan Rodríguez Juárez perteneció a una extensa familia de pintores del México colonial, entre los que cabe citar a su abuelo José Juárez. Su estilo es intermedio entre el tenebrismo y la pintura barroca tardía o rococó. Hacia 1694 pertenecía a una cofradía y ya era asistente de pintor. Tuvo como maestro a José de Padilla y trabajó en su taller. En 1719 fue contratado para ejecutar algunas de las piezas centrales del Altar de los Reyes de la Catedral Metropolitana: la Adoración de los Magos y la Asunción de la Virgen. Cultivó el género del retrato destacando su Retrato del arzobispo José de Lanciego y el del virrey Fernando de Alencastre, duque de Linares.

"
José Salomón Piña;;
José Sánchez;;
José Soares de Araújo ;1765- 1770;"(1723-1799)  José Soares de Araújo nace en Braga, Portugal el 6 de diciembre de 1723. Vive en Diamantina, Minas Gerais, Brasil entre 1765 y 1799. Entre sus obras se encuentran: las paredes de la casa parroquial (1766), de la nave (1778) y la sacristía de la Iglesia de la Tercera Orden de Nuestra Señora del Monte Carmelo; y el revestimiento de la capilla y la sacristía (1779/1782) de la Iglesia de Nuestra Señora del Rosario. En 1766 es jefe de la guardia de Tejuco Arraial Serro Frio. Ese mismo año se integra a la Hermandad de la Tercera Orden del Carmelo. Muere el 18 de septiembre de 1799 en Diamantina.

FUENTE: Catálogo de artistas coloniales "
José Suárez;;
José Teóphilo de Jesús ;;(1758 - 1847) José Teófilo de Jesús fue un pintor y decorador de Brasil y uno de los representantes más destacados de la escuela de Bahía de la pintura. Su obra es ecléctica, y se caracterizó por que ilustra la transición del barroco al rococó , alcanzando características de dibujo neoclásico, creativamente adaptando un legado estético importado en un nuevo contexto, convirtiéndose en  un lenguaje típicamente brasileño.  Parece haber llevado una vida sencilla de la cual poco se sabe, aunque tuvo gran prestigio en vida. Su producción es aparentemente amplia, pero un buen número de obras que se identifica con su nombre fue por una asignación de tradición oral. A pesar de que ha sido reconocido por los expertos como uno de los grandes del barroco brasileño , su historia todavía está lleno de lagunas e incertidumbres.
Joseph Badger;;"(1708-1765)  Joseph Badger fue un artista de retratos en Boston, Massachusetts. Nació en Charleston, Massachusetts y comenzó su carrera pintando letreros, placas y otros dispositivos heráldicos para sostenerse monetariamente mientras las ordenes de retratos eran bajas. En 1733 se casó con  Katharine Felch y se mudaron a Boston alrededor de 1733. Murió en Boston en mayo de 1763. 

Fuente: Art Museum, the Museum of Fine Arts Boston, and Historic New England's Phillips House, Salem, Mass.

"
Joseph Blackburn;1750-1765;"(1730-1778) Joseph Blackburn fue un pintor de retratos británico que trabajó principalmente en la América Colonial y en Bermuda. Poco es conocido de la vida de Blackburn. También era conocido  Jonathan Blackburn y existe gran confusión alrededor de las fechas de su nacimiento y muerte. Algunos sugieren que nació alrededor de 1730 y murió probablemente en 1778. 

Fuente: worcesterar museum

http://www.worcesterart.org/collection/Early_American/Artists/blackburn/biography/"
Joseph Castel;;(1798-1856) de Joseph Castel se conoce que nació en Niza, Francia en 1798 y murió en Roma, Italia en 1856. 
Joseph Dunkerley;1781;"Los trabajos de  Joseph Dunkerley son a veces confundidos con los trabajos de John Singleton Copley por la similitud en su tamaño y delicadeza. Dunkerley es un pintor británico que llegó a América y se convirtió en un de los más importantes miniaturistas de la nueva república. Llegó a América durante la guerra de revolución contra los británicos pero desertó para unirse a las artillerías del régimen de  Massachusetts. Ofreció sus servicios de miniaturista y de dibujante por medio de un anuncio en el periódico. 



 Fuente: yale unversity art gallery

http://cmi2.yale.edu/ym/archive/artists/josephdunkerley/artist.html



"
Joseph Francis Burrell;;(1770-1854) De  Joseph Francis Burrell  se conoce, a parte de la fecha de su nacimiento y muerte,  que estuvo activo en Londres, Inglaterra y que también era conocido como J. F. Burrell.
Joseph Robinson;;
Joseph Siffred Duplessis;;"(1725 –1802) Joseph-Siffred Duplessis fue un pintor francés, conocido por la claridad e inmediatez de sus retratos. Nació en una familia de artistas y recibió su primera formación de su padre, un cirujano y talentoso aficionado, luego con Joseph-Gabriel Imbert (1666–1749), que había sido alumno de Charles Le Brun. Desde 1744-47 o más tarde, trabajó en Roma, en el taller de Pierre Subleyras, que también era del sur de Francia, quien murió en 1749. Llego a alrededor de 1752 a París, donde fue aceptado en la Académie de Saint-Luc y expuso varios retratos Siguió exponiendo en el salón de París, tanto pinturas acabadas como esbozos, hasta 1791, y de nuevo, en 1801. Su retrato de Benjamín Franklin (1778), más que ningún otro, ha fijado la imagen de Franklin para la posteridad.

"
Joseph Wood;;"(1778–1830) Joseph Wood fue un pintor de miniaturas, un grabador. Copió retratos en miniaturas que habían sido dejadas en una tienda. Dichas copias le llamaron la atención a John Wesley Jarvis quien llevó a Wood a una lucrativa sociedad. Wood se mudó a filadelfia en 1813 y luego trabajó en Baltimore y en  Washington.

 Fuente: Met museum

http://www.metmuseum.org/toah/works-of-art/1993.283"
Joseph Wright;1740-1780;"(1734-1797)  Joseph Wright  fue un pintor británico. Discípulo de T. Hudson que  sobresalió como retratista en su ciudad natal. A partir de 1755 empezó a pintar nocturnos y escenas envueltas en una luz artificial, con experimentos científicos, oficinas, etc. (Máquina neumática). También aplicó estos efectos lumínicos a escenas de interiores, vistas y paisajes. Se inició en el arte del retrato con Thomas Hudson, triunfando en este campo a los diecinueve años en su localidad natal. Estos primeros retratos presentan un gran interés por el realismo psicológico. En la década de 1760 empezó a realizar los llamados ""cuadros de estilo serio"" con los que se distinguía de las obras de Hogarth y Wheatley. Su temática está inspirada en asuntos científicos de la Revolución Industrial que el pintor estaba viviendo, asuntos cargados de dramatismo gracias a la iluminación empleada, especialmente los nocturnos tomados de la escuela de Caravaggistas de Utrecht, aportando una significativa dosis de romanticismo a sus trabajos. En 1774 se traslada a Italia donde se interesará por el neoclasicismo, abandonando paulatinamente el realismo de sus trabajos iniciales. De regreso a Gran Bretaña, pasó dos años en Bath intentando cubrir la vacante de retratista galante dejada por Gainsborough pero no lo consiguió. Realizará en estas fechas paisajes, escenas mitológicas, literarias y legendarias, explotando el romanticismo de estos asuntos. 

Fuente: arte historia



http://www.artehistoria.com/v2/personajes/3767.htm

"
Joseph-Pierre Picot de Limoelan de Clorivière;;(1768-1826) Clorivière fue un oficial en el ejercito francés y estuvo implicado en el asesinado de  Napoleón Bonaparte. Viajó a Baltimore, Estados Unidos en 1803.  Se convirtió en sacerdote y ministro en  Charleston, Sur de  Carolina.
Josephus Arias Huerta;;
Joshua Johnson;;
Joshua Reynolds;1740-;"(1723 – 1792)Reynolds nació en  Plympton, Devon. Fue aprendiz en 1740 de  Thomas Hudson. Después de su estadía en Italia se estableció como un retratista importante. Fue una figura clave en la vida intelectual en Londres. Fue elegido como primer presidente de la Royal Academy en su año de fundación en 1768."
Joshua Shaw;1817-1843;"(1776-1860) Joshua Shaw nació en Billinngborough, Lincolnshire, Inglaterra en 1776 y se convirtió en huérfano a la edad de siete años. Para sobrevivir trabajó en una granja y fue durante este trabajo cuando descubrió su talento para el dibujo. Emigró a Los Estados Unidos en 1817 y en 1819 se asentó en Filadelfia donde se estableció como artista. En 1820 colaboró con John Hill en una colección de grabados de gran formato titulados Picturesque Views of American Scenery. En 1843 se retiró a  Bordentown, New Jersey."
Juan Aguilera;;
Juan Agustín Riera;;
Juan Antonio Prado;;
Juan Bautista Daniel;;"Juan Bautista Daniel, nació en Dania, la actual Dinamarca, que formaba parte del reino de Noruega. alrededor de 1606 entró a Argentina donde se asentó Córdoba, y logró  una buena posición económica y desarrolló una intensa producción.

Fuente:  El arte al servici de la Fe Arte colonial argentino

http://www.rebon.com.ar/azara/pdf/cuadernillo_arte_capitulo02.pdf"
Juan Bautista Narria;;De  Juan Bautista Narria  se conoce que fue un pintor y dorador de Arequipa, Perú. 
Juan Bautista Piazzeta;1690-1754;"(1682-1754) Juan Bautista Piazzeta fue un pintor italiano que comenzó su carrera en el estudio de su padre Giacomo, un  tallador de madera. luego de colaborar en el tallado de un librero en la librería de la iglesia de  Santi Giovanni e Paolo en Venecia, abandono la profesión familiar y comenzó a estudiar pintura bajo la dirección de  Antonio Molinari. En 1703 viajó a Bolonia, Italia donde trabajó en el estudio de  Giuseppi Maria Crespi. Regresó a Venecia en 1711 y trabajó allí hasta su muerte. 

Fuente: enciclopedia británica



http://www.britannica.com/EBchecked/topic/459217/Giovanni-Battista-Piazzetta"
Juan Bautista Vermay;;Juan Bautista Vermay fue un pintor de la escuela neoclásica de David. Maestro de la hija de Josefina Beauharnais, Hortensia, futura reina de Holanda. Su vida giraba en torno a la órbita de Napoleón Bonaparte. En el Salón de 1808 en París, obtiene una medalla dada por el Emperador al cuadro María Estuardo, reina de Escocia. En el Salón de 1810, Vermay expone tres cuadros: El nacimiento de Enrique IV, Gabrielle de Vergy y Pierre Fourey es absuelto de la acusación que pesa sobre él. En el Salón de 1812 expone otros tres, también de tema histórico: El descubrimiento del Derecho Romano, Diana de Poitiers y Margarita de Navarra recibiendo de Clemente Marot una balada compuesta para ella.
Juan Carreño de Miranda;;"(1604-1685)Juan Carreño de Miranda fue un pintor de la Corte Madrileña de Carlos II. Llamado por el pintor Bartolomé Román decoró el Palacio Real. Excelente retratista que, con obras  del Rey y de su madre Doña Mariana de Austria,  demuestra que es seguidor  de la obra de Velázquez. Sus cuadros religiosos muestran también un interés y una influencia de las obras flamencas de la época. 



Fuente: Paz Soldán Boza, Mariano Felipe. (). Panorama de la pintura virreinal peruana: Escuela Limeña."
Juan Castellanos;;
Juan Correa;1646-1716;"(1646 - 1716) Juan Correa fue un  pintor novohispano que estuvo activo entre 1676 y 1716. Su pintura abarca tanto temas religiosos como profanos. Varias de sus obras de tema Guadalupano, llegaron a España. También, pintó temas Guadalupanos en Roma (1669). Se considera que una de sus mejores obras es la Asunción de la Virgen de la Catedral de la Ciudad de México Correa. Fue maestro del también pintor José de Ibarra.

FUENTE: 

Museo blastein 

http://www.museoblaisten.com/v2008/indexESP.asp?cache=0.7055475"
Juan Correa, hijo;;
Juan de Arellano;;"(1614-1676).  Juan de Arellano fue un artista español especializado fundamentalmente en los cuadros de flores, con los cuales consiguió un gran éxito, tanto artístico como financiero. Tras una primera etapa dedicado a la pintura religiosa, decide abandonar la figura para especializarse en el género floral. Arellano debió percibir el éxito que la pintura de flores podría tener en la corte, donde el mercado de aficionados a este género se nutría en buena parte a través de la importación. Sus primeras influencias las recibió de los ejemplos flamencos, especialmente de Daniel Seghers en la dirección profusa y exuberante ya comentada. Abrió tienda en el centro de Madrid: ya en 1646 tenía una en la calle de Atocha. Llegó a ser una de las más importantes de la capital, donde sus obras fueron conocidas y adquiridas por gran número de nobles. En su taller, además de las pinturas de flores, tenían cabida otros géneros como bodegones, retratos, paisajes, temas alegóricos y religiosos. 

FUENTE: museo del prado 

https://www.museodelprado.es/enciclopedia/enciclopedia-on-line/voz/arellano-juan-de/"
Juan de Arrúe;;"(1565-¿?) Juan de Arrúe nació en 1565 en las provincias de Ávalos y descendía, por línea materna, del infortunado rey tarasco Caltzontzin. Fue discípulo de Andrés de Concha y alcanzó gran fama como pintor. A fines del siglo XVI se estableció en Puebla y más tarde residió por algún tiempo en Oaxaca. En ambas ciudades, y en los pueblos aledaños, Arrué trabajó en la pintura de altares. Por ejemplo, en el retablo de la iglesia de Etla y en los cuadros de la Vida de la Virgen en la iglesia de San Francisco de Cuauhtinchán. En 1621 ejecutó parte de los adornos  solemnizados del túmulo para las honras de Margarita de Austria en el convento de Santo Domingo. Testó en Puebla en el año de 1637 y debe haber fallecido poco después. 



Fuente: Romero de Terreros, Manuel. (1965). El pintor Alonso López de Herrera. En Revista Anales del Instituto de Investigaciones Estéticas, vol. IX, No. 34. Disponible en http://www.analesiie.unam.mx/index.php/analesiie/article/view/800/787"
Juan de Calderón;1649-16700;"Juan de Calderón fue un pintor español que aparece activo en documentos limeños (Perú) desde 1649. En 1657 se traslada a Cusco y es contratado por el Convento de San Francisco de Cusco para dorar el retablo de la capilla de los Remedios. En 1659 trabajó como dorador de la imagen de Nuestra Señora Concebida en el Monasterio de Santa Clara de Cusco. En 1660 es contratado por la Iglesia de la Merced para dorar el los lienzos que se encuentran en el Retablo de la Soledad. Se presume que estos últimos son de su autoría, especialmente Cristo recogiendo sus vestiduras. 



Fuente: 

DE MESA, José; GISBERT, Teresa Historia de la Pintura Cuzqueña"
Juan de la Concepción y Beraun Fray;;
Juan de Mora;;
Juan de Ruelas;1615-;(¿?-1625) Juan de Roelas trabajaba en Valladolid en los actos conmemorativos de la muerte de Felipe, colaborando en la traza de su monumento funerario. En Valladolid estuvo trabajando hasta el año 1604, cuando obtuvo una prebenda o favor del Conde-Duque de Olivares. En 1614, ya clérigo, fue nombrado capellán real, por lo que en un par de años más se traslada a Madrid, buscando hacer carrera de pintor. Sin embargo y pese a sus diligencias no consiguió que se le otorgara el título de Pintor del Rey, por lo que regresó a Olivares. Sus últimos años los dedicó a su oficio religioso como canónigo de la Colegiata de Olivares y se conocen pocos datos de ese período. En 1625 murió, siendo enterrado en aquel lugar.
Juan de San Pedro Flores;;
Juan de Solórzano;;
Juan de Valdés Leal ;1650-1680;(1622- 1690) Juan de Valdés fue un pintor que, a pesar de nunca haber pisado América, fue notable por la importación de sus obras a nuestro continente. Esto ocurrió gracias a la cercanía que tenía con el pensamiento jesuítico, de tal forma que hoy en día se puede apreciar su obra en la colección de San Pedro de Lima, Perú. Sobre su formación artística no se dispone información, al parecer, fue discípulo de Antonio del Castillo en Córdoba y allí se casó, en 1647, con Isabel. Los encargos pronto empezaron  aparecer y Valdés Leal dispuso de casa propia con taller en la calle de la Feria. La epidemia de peste que sufrió Córdoba en 1649 motivó a Valdés Leal y a su familia a irse a Sevilla el siguiente donde arrienda una casa en la calle Boticas. Su primer encargo en la capital andaluza está documentado en 1652 y es un ciclo de pinturas para el convento de Santa Clara en Carmona entre las que destaca la Retirada de los sarracenos. El 9 de octubre de 1690 Valdés Leal redacta su testamento, falleciendo a los pocos días. 
Juan de Vera;;
Juan de Villalobos;;
Juan de Villegas;1710-1800;"Juan de Villegas fue un pintor mexicano. En la mayoría de su obra conocida aparece su firma pero sólo dos de ellas están fechadas: El tránsito de san José (1711) y San Cristóbal (1727). El resto de ellas se han datado simplemente entre finales del XVII y principios del XVIII. Trabajó en la región de Puebla una importante ciudad de la Nueva España. incluso envió una serie de pinturas a Nueva Zamora de la Laguna de Maracaibo, provincia de Venezuela. 

FUENTE:  boletín guadalupano http://www.boletinguadalupano.org.México/boletin/cultura/BG_2007/lienzo.htm"
Juan del Corral;;
Juan del Río;;
Juan Dualte;;
Juan Duns Scoto;;
Juan Espinoza de Los Monteros;1620-1690;
Juan Flores Sevilla;;
Juan Francisco de Aguilera;;
Juan Gallegos;;
Juan Gerson;;
Juan González;1820-;"Pintor. Autor de la Dolorosa firmado y fechado en Petare, 1824. González siguió la tradicional iconografía religiosa escogiendo las siete dagas para representar los siete dolores. Es interesante señalar la semejanza de los rasgos de esta Dolorosa con el de Santa Gertrudis de Helfta, de Francisco Contreras, de 1785 (colección Museo de Arte Colonial Quinta de Anauco, Caracas). González prolongó entrado el siglo XIX la tradición iconográfica colonial.

Fuente: wiki historia del arte venezolano 

http://vereda.ula.ve/wiki_artevenezolano/index.php/Gonz%C3%A1lez,_Juan

"
Juan José Jurado;;
Juan José Landaeta;1763-1810;"(1747-1810). Juan José Landaeta nació en 1747 y  fue un  pintor y dorador. Hijo de Alejandro Landaeta y de Juana Estefana García y hermano del pintor Antonio José Landaeta. Fue un destacado representante de la denominada Escuela de los Landaeta. Realizó diversos trabajos de pintura, dorado y restauraciones  para la Catedral y las iglesias de San Francisco, de Altagracia, Santa Rosalía y San Pablo. Falleció en Caracas, el 25 de octubre de 1810. 

Fuente: Centro León; Fundación Cisneros. De oficio pintor: arte colonial venezolano. Colección Patricia Phelps de Cisneros. Santiago de los Caballeros: Centro León; Caracas: Fundación Cisneros, 2007."
Juan José Rosales;;"(1751 o 1761-1816) Juan José Rosales se destacó en el campo del grabado y la pintura de caballete. Este creador fue quien restauró la Apoteosis de la Orden de la Merced luego de los daños sufridos en la traslación de Antigua al Valle de la Ermita. 

"
Juan Manosalvas;;
Juan Manuel Yllanes del Huerto;;
Juan Osorio;;
Juan Pardo de Lago Osorio;;
Juan Patricio Morlete Ruiz;1713-1772;Nacidoen San Miguel el Grande, Guanajuato, fue uno de los pintores mestizos destacados en la segunda mitad del siglo XVIII. Fue discípulo de José de Ibarra y formó parte del grupo de artistas que fundaron la Academia de Pintura, en 1753. Junto con Miguel Cabrera, José de Ibarra y otros pintores inspeccionó en 1751 la imagen de la virgen de Guadalupe que hoy se venera en la Basílica.
Juan Pedro López;1724-1787;"(1724- 1787) Juan Pedro López Nació en Caracas el 23 de junio de 1724. Es de creerse que Juan Pedro aprendió su oficio en algún taller de los que funcionaban en la Caracas de entonces, para luego independizarse formando su propio negocio y posiblemente enseñado a otros sus conocimientos. Juan Pedro López no fue sólo pintor, también se dedicó a la escultura, al dorado de retablos y muebles, a la restauración y avaluó de imágenes. Falleció el 14 de agosto de 1787. Su estilo pictórico estuvo enfocado dentro de ciertos rasgos de los artistas españoles Bartolomé Esteban Murillo (1617-1682), José Antolinez (1635-1675) y Mateo Cerezo, y a veces enmarcado dentro de una imaginería mexicana de la escuela de Miguel Cabrera (1695-1768).

FUENTE: 

Arte colonial venezuela http://artecolonialvenezuela.blogspot.com/2009/04/algunos-pintores-coloniales-venezolanos.html"
Juan Ramos;;
Juan Rodríguez Herrera;;
Juan Rodríguez Juárez;1694-;"(n. 1675-f. 1728) Rodríguez Juárez nació en México. Recibió las enseñanzas de su padre Antonio Rodríguez . Se casó con doña Juana Montes de Oca, y sólo tuvo un hijo. Intervino en la inspección que su hermano Nicolás y su padre realizaron de la imagen original de la Virgen de Guadalupe. Formuló avalúos de pinturas entre 1726 y 1727. El 14 de enero de 1728 falleció en su casa enfrente del Arzobispado.

 FUENTE: Catálogo de Artistas Coloniales."
Juan Rodríguez Samanes;;"  Juan Rodríguez Samanes  nació a fines del siglo XVI, probablemente de origen español, en uno de sus contratos afirma ser morador del Cuzco . Al igual que otros pintores manieristas del segundo tercio del siglo XVII.

"
Juan Rubí de Miramón;;"Juan Rubí de Miramón fue un pintor nacido en la ciudad de Tehuacán a principios del siglo XVII en un barrio mestizo. Sus primeras pinturas las realizó en ésta ciudad pero pronto constató que el ambiente no era propicio para su desarrollo artístico y entonces decidió trasladarse a la ciudad de Puebla, donde vivió la mayor parte de su vida, retornando en varias ocasiones a Tehuacán pero desarrollando su vida artística en Puebla. A partir de 1675 se convirtió en uno de los pintores favoritos de los eclesiásticos poblanos, quienes le encargaron  varias pinturas para el Hospital de San Juan de Dios, recientemente fundado.

Fuente:  personajes mitos y leyendas de tehuacan

http://personajesmitosyleyendasdetehuacan.blogspot.com/2014/09/juan-rubi-de-miramon.html"
Juan Sáenz;;
Juan Salguero;;
Juan Sánchez Salmerón;;
Juan Sarmiento;;
